service_name,device_name,dutch_phrase
blinds.close,keuken,Laat de keukenrolgordijnen zakken
blinds.close,woonkamer,Sluit de jaloezieën in de woonkamer
blinds.close,hoofdslaapkamer,Sluit de jaloezieën van de hoofdslaapkamer
blinds.open,keuken,Kun je de keukenjaloezieën omhoog doen?
blinds.open,woonkamer,Open de zonwering in de woonkamer
blinds.open,hoofdslaapkamer,Til de jaloezieën van de hoofdslaapkamer op
blinds.stop,keuken,Stop de keukenrolgordijnen waar ze zijn
blinds.stop,woonkamer,Stop met het verstellen van de jaloezieën in de woonkamer
blinds.stop,hoofdslaapkamer,Stop alstublieft de zonwering in de hoofdslaapkamer
blinds.toggle,keuken,Verander de status van de keukenzonwering
blinds.toggle,woonkamer,Schakel de jaloezieën in de woonkamer in
blinds.toggle,hoofdslaapkamer,Draai de jaloezieën van de hoofdslaapkamer om
fan.decrease_speed,zolder_1,Vertraag de zolderventilator
fan.decrease_speed,zolder_1,Zet de zolderventilator lager
fan.decrease_speed,zolder,Vertraag de ventilator op zolder
fan.decrease_speed,slaapkamer_master,Vertraag de ventilator in de slaapkamer
fan.decrease_speed,garage,Zet de ventilator in de garage zachter
fan.decrease_speed,gast_kamer,Verlaag de ventilatorsnelheid in de logeerkamer
fan.decrease_speed,gang,Verlaag de ventilatorsnelheid in de gang
fan.decrease_speed,keuken,Zet de keukenventilator langzamer
fan.decrease_speed,keuken,Zet de keukenventilator lager
fan.decrease_speed,woonkamer,Verlaag de snelheid van de ventilator in de woonkamer
fan.decrease_speed,woonkamer,Zet de ventilator in de woonkamer lager
fan.decrease_speed,studie,Verlaag de ventilatorsnelheid in het onderzoek
fan.increase_speed,zolder_1,Verhoog de snelheid van de zolderventilator
fan.increase_speed,zolder,Versnel de ventilator op zolder
fan.increase_speed,slaapkamer_master,Verhoog de snelheid van de ventilator in de slaapkamer
fan.increase_speed,garage,Zet de ventilator in de garage hoger
fan.increase_speed,gast_kamer,Verhoog de ventilatorsnelheid in de logeerkamer
fan.increase_speed,gang,Verhoog de ventilatorsnelheid in de gang
fan.increase_speed,woonkamer,Verhoog de snelheid van de woonkamerventilator
fan.increase_speed,studie,Verhoog de ventilatorsnelheid in het onderzoek
fan.toggle,zolder_2,Schakel de zolderventilator in
fan.toggle,zolder,Verander de ventilatorstatus op zolder
fan.toggle,kelder,Schakel de kelderventilator in
fan.toggle,slaapkamer_master,Schakel de status van de ventilator in de hoofdslaapkamer
fan.toggle,slaapkamer,Schakel de slaapkamerventilator in
fan.toggle,eettafel_boven,Schakel de ventilator boven de eettafel in
fan.toggle,oprit,Draai de opritventilator om
fan.toggle,garage,Draai de ventilator in de garage om
fan.toggle,gast_kamer,Kun je de ventilator in de logeerkamer aanzetten?
fan.toggle,gang,Schakel de status van de ventilator in de gang
fan.toggle,keuken,Schakel de keukenventilator in
fan.toggle,woonkamer,Schakel de ventilator in de woonkamer in
fan.toggle,kantoor,Schakel de kantoorventilator in
fan.toggle,buitenshuis,Schakel de buitenventilator in
fan.toggle,zwembad,Wijzig de status van de zwembadventilator
fan.toggle,schuur,Schakel de stalventilator in of uit
fan.toggle,studie,Wijzig de ventilatorstatus in het onderzoek
fan.turn_off,zolder_1,Schakel de zolderventilator uit
fan.turn_off,slaapkamer_master,Schakel de ventilator in de hoofdslaapkamer uit
fan.turn_off,eethoek,Schakel de ventilator in de eethoek uit
fan.turn_off,eetkamer,Schakel de ventilator in de eetkamer uit
fan.turn_off,garage,Schakel de garageventilator uit
fan.turn_off,garage,Schakel de garageventilator uit
fan.turn_off,gast_kamer,Schakel de kamerventilator uit
fan.turn_off,keuken,Schakel de keukenventilator uit
fan.turn_off,woonkamer,Schakel de ventilator in de woonkamer uit
fan.turn_off,kantoor,Kunt u de kantoorventilator uitschakelen?
fan.turn_off,kantoor,Schakel de kantoorventilator uit
fan.turn_off,patio,Zet de terrasventilator uit
fan.turn_off,studie,Schakel de studieventilator uit
fan.turn_off,studie,Schakel de studieventilator uit
fan.turn_on,badkamer,Activeer de badkamerventilator
fan.turn_on,badkamer,Zet de badkamerventilator aan
fan.turn_on,slaapkamer_master,Activeer de ventilator in de hoofdslaapkamer
fan.turn_on,eethoek,Schakel de ventilator in de eethoek in
fan.turn_on,garage,Zet de garageventilator aan
fan.turn_on,gang,Schakel de gangventilator in
fan.turn_on,keuken,Schakel de keukenventilator in
fan.turn_on,woonkamer,Start de woonkamerventilator
fan.turn_on,woonkamer,Zet de ventilator in de woonkamer aan
fan.turn_on,kantoor,Kunt u de kantoorventilator inschakelen?
fan.turn_on,studie,Activeer de studieventilator
fan.turn_on,studie,Zet de studieventilator aan
garage_door.close,fietsenstalling,Deactiveer de fietsenstalling
garage_door.close,voornaamst,Sluit de hoofdgaragedeur
garage_door.close,een auto,Zorg ervoor dat de garage voor één auto gesloten is
garage_door.close,kant,Laat de garagedeur aan de zijkant zakken
garage_door.open,kelder,Open alstublieft de garagedeur in de kelder
garage_door.open,fietsenstalling,Activeer de fietsenstalling
garage_door.open,voornaamst,Open de hoofdgaragedeur
garage_door.open,kant,Kunt u de garagedeur aan de zijkant optillen?
garage_door.open,twee_auto,Open de garage voor twee auto's
garage_door.stop,voornaamst,Stop de hoofdgaragedeur
garage_door.stop,kant,Stop de garagedeur aan de zijkant
garage_door.toggle,voornaamst,Schakel de hoofdgaragedeur in
garage_door.toggle,kant,Wijzig de status van de zijgaragedeur
light.toggle,zolder,Verander de lichtstatus op zolder
light.toggle,slaapkamer_1,Schakel het slaapkamerlicht in
light.toggle,eettafel_boven,Schakel het licht boven de eettafel uit
light.toggle,oprit,Draai het opritlicht om
light.toggle,garage,Draai het licht in de garage uit
light.toggle,gast_kamer,Kunt u het licht in de logeerkamer aan of uit doen?
light.toggle,gast_kamer,Schakel het licht in de gastenkamer in
light.toggle,gang,Schakel de stand van het licht in de gang
light.toggle,gang,Schakel het ganglicht uit
light.toggle,keuken_1,Schakel het keukenlicht in
light.toggle,keuken_2,Schakel het keukenlicht in
light.toggle,kantoor,Schakel het kantoorlicht in
light.toggle,buitenshuis,Schakel het buitenlicht in
light.toggle,patio,Schakel het terraslicht in
light.toggle,zwembad,Wijzig de status van het zwembadlicht
light.toggle,schuur,Schakel de stalverlichting in of uit
light.toggle,studie,Verander de lichtstatus in de studie
light.toggle,studie,Schakel het studielicht in
light.turn_off,badkamer_1,Doof alstublieft het badkamerlicht
light.turn_off,badkamer,Schakel het badkamerlicht uit
light.turn_off,badkamer,Doe het badkamerlicht uit
light.turn_off,slaapkamer_1,Schakel het slaapkamerlicht uit
light.turn_off,slaapkamer_2,Schakel het slaapkamerlicht uit
light.turn_off,eetkamer,Doe het licht in de eetkamer uit
light.turn_off,eetkamer,Doe het licht in de eetkamer uit
light.turn_off,tuin_1,Schakel het tuinlicht uit
light.turn_off,gast_kamer,Schakel het licht in de gastenkamer uit
light.turn_off,gast_kamer,Doe het licht in de logeerkamer uit
light.turn_off,gang,Doe het ganglicht uit
light.turn_off,gang,Doe het ganglicht uit
light.turn_off,keuken_2,Doe het keukenlicht uit
light.turn_off,aanrecht,Schakel het aanrechtlicht in de keuken uit
light.turn_off,woonkamer_1,Schakel het licht in de woonkamer uit
light.turn_off,woonkamer,Doe het licht in de woonkamer uit
light.turn_off,master_bedroom_1,Schakel het licht in de hoofdslaapkamer uit
light.turn_off,master_bedroom_lamp,Doe het licht in de slaapkamer uit
light.turn_off,kantoor,Schakel de kantoorverlichting uit
light.turn_off,patio,Schakel de terrasverlichting uit
light.turn_off,patio,Schakel de terrasverlichting uit
light.turn_off,zwembad,Doe het zwembadlicht uit
light.turn_off,studie,Schakel de studielamp uit
light.turn_on,badkamer_1,Kunt u de badkamer verlichten?
light.turn_on,badkamer,Activeer het badkamerlicht
light.turn_on,slaapkamer_1,Activeer het slaapkamerlicht
light.turn_on,eetkamer_1,Activeer de lichten in de eetkamer
light.turn_on,eetkamer,Activeer het eetkamerlicht
light.turn_on,oprit,Doe het opritlicht aan
light.turn_on,garage,Activeer het garagelicht
light.turn_on,garage,Schakel de garageverlichting in
light.turn_on,tuin_1,Doe de tuinverlichting aan
light.turn_on,tuin_1,Doe het tuinlicht aan
light.turn_on,tuin_2,Activeer het tuinlicht
light.turn_on,tuin,Doe de tuinverlichting aan
light.turn_on,gast_kamer,Schakel het licht in de logeerkamer in
light.turn_on,gang,Doe het ganglicht aan
light.turn_on,keuken_1,Doe de keukenverlichting aan
light.turn_on,keuken_1,Doe het keukenlicht aan
light.turn_on,aanrecht,Schakel het keukenwerkbladlicht in
light.turn_on,woonkamer,Doe het licht in de woonkamer aan
light.turn_on,master_bedroom_1,Activeer het licht in de hoofdslaapkamer
light.turn_on,kantoor_1,Schakel het kantoorlicht in
light.turn_on,patio,Schakel de terrasverlichting in
light.turn_on,patio,Schakel de terrasverlichting in
light.turn_on,patio,Doe de terrasverlichting aan
light.turn_on,zwembad,Activeer het zwembadlicht
light.turn_on,zwembad,Doe het zwembadlicht aan
light.turn_on,schuur,Activeer het schuurlicht
light.turn_on,schuur,Doe het schuurlicht aan
light.turn_on,studie,Activeer de studielamp
light.turn_on,eetkamer_kamerkroonluchter,Doe het licht in de eetkamer aan
light.turn_on,kroonluchter_voor_gang,"Hé, kun je de kroonluchter in de voorgang aanzetten?"
lock.lock,achterdeur,Schakel het slot van de achterdeur in
lock.lock,voordeur,Doe de voordeur op slot
lock.lock,kinderopvang,Kun jij de deur van de kinderkamer beveiligen?
