device_type,state,dutch_phrase,assistant_response
light,on,Staat de <device_name> aan,De <device_name> is momenteel ingeschakeld
light,on,Kunt u mij de status van <device_name> vertellen?,De <device_name> is ingeschakeld
light,off,Wat doet de <device_name>,De <device_name> is uitgeschakeld
light,off,Staat de <device_name> uit,De <device_name> is momenteel uitgeschakeld
fan,on,Staat de <device_name> aan,De <device_name> is momenteel ingeschakeld
fan,on,Kunt u controleren of de <device_name> werkt,De <device_name> is ingeschakeld
fan,off,Staat de <device_name> uit,De <device_name> is momenteel uitgeschakeld
fan,off,Wat is de huidige status van de <device_name>,De <device_name> is uitgeschakeld
garage_door,open,Is de <device_name> geopend,De <device_name> is momenteel geopend
garage_door,open,Kunt u mij vertellen of de <device_name> open is,De <device_name> is geopend
garage_door,closed,Is de <device_name> gesloten,De <device_name> is momenteel gesloten
garage_door,closed,Wat is de status van de <device_name>,De <device_name> is gesloten
garage_door,opening,Is de <device_name> opening,De <device_name> wordt momenteel geopend
garage_door,opening,Wat doet de <device_name>,De <device_name> wordt geopend
garage_door,closing,Sluit de <device_name>,De <device_name> wordt momenteel gesloten
garage_door,closing,Kunt u mij vertellen of de <device_name> wordt gesloten,De <device_name> wordt gesloten
blinds,open,Zijn de <device_name> open,De <device_name> zijn momenteel geopend
blinds,open,Wat is de status van de <device_name>,De <device_name> zijn geopend
blinds,closed,Zijn de <device_name> gesloten,De <device_name> zijn momenteel gesloten
blinds,closed,Kunt u controleren of de <device_name> gesloten zijn,De <device_name> zijn gesloten
blinds,opening,Zijn de <device_name> opening,De <device_name> worden momenteel geopend
blinds,opening,Wat doet de <device_name>,De <device_name> worden geopend
blinds,closing,Sluit de <device_name>,De <device_name> worden momenteel gesloten
blinds,closing,Wat is de status van de <device_name>,De <device_name> worden gesloten
media_player,on,Staat de <device_name> aan,De <device_name> is momenteel ingeschakeld
media_player,on,Wat is de huidige status van de <device_name>,De <device_name> is ingeschakeld
media_player,off,Staat de <device_name> uit,De <device_name> is momenteel uitgeschakeld
media_player,off,Kunt u mij vertellen of de <device_name> is uitgeschakeld,De <device_name> is uitgeschakeld
media_player,idle,Wat is de <device_name> aan het doen,De <device_name> is inactief
media_player,idle,Is de <device_name> inactief,De <device_name> is momenteel inactief
